condition_number,rep_set,rep,n,fcor,hthm_0tol,hthm_5tol,hthm_10tol,htmm_10tol,htmm_20tol,htmm_30tol,rel_0tol,pattern,ctcm_converged....ctcm_converged,ctcm_chi2,stcm_converged....stcm_converged,stcm_chi2,widaman_dif_p,widaman_dif_nfi,widaman_dif_tli,c_cicfa,c_chisqdif,i_cicfa,i_chisqdif
2,1,1,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
2,1,2,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1
2,1,3,70,0.9999999999,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NA
2,1,4,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,1
2,1,5,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,NA
2,1,6,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
2,1,7,70,0.9999999999,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1
2,1,8,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
2,1,9,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
2,1,10,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
2,1,11,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,0
2,1,12,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,13,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,NA
2,1,14,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,NA
2,1,15,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,NA,NA
2,1,16,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
2,1,17,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,1,NA,1
2,1,18,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
2,1,19,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,NA,1
2,1,20,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,21,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,1
2,1,22,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
2,1,23,70,0.9999999999,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,NA,1
2,1,24,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
2,1,25,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
2,1,26,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,27,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,28,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,29,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,30,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2,1,31,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,1
2,1,32,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
2,1,33,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
2,1,34,70,0.9999999999,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
2,1,35,70,0.9999999999,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
2,1,36,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1
2,1,37,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
